Vertices,Power(ms),Direct(ms)
100,0.12466920000000001,1.3570470000000001
200,0.2890232,12.599639999999999
300,0.4746708,47.15586
400,0.56299,117.0676
500,0.3973088,245.25039999999998
600,0.38266900000000004,423.53360000000004
700,0.5453762,639.8109999999999
800,0.6759214,930.4982
900,0.6678546,1322.5459999999998
1000,0.6624730000000001,1816.598
