Vertices,Power(ms),Direct(ms)
100,0.1218998,1.704924
200,0.2730442,17.45822
300,0.5546171999999999,64.63759999999999
400,0.46707979999999993,129.4144
500,0.4217112,247.28699999999998
600,0.529918,401.055
700,0.4621588,636.9512000000001
800,0.6358455999999999,936.594
900,0.7108504,1310.67
1000,0.6229504,1789.8919999999998
