Vertices,RelativeError(%)
100,10.2692766165808
200,0.5547621957715896
300,0.00013108808406530324
400,3.854312482112748e-05
500,4.8416408071114794e-05
600,4.1374285481556086e-05
700,5.4326513149928326e-05
800,3.829412879696045e-05
900,3.554692148541771e-05
1000,2.4285471554611272e-05
