Vertices,Power(ms),Direct(ms)
100,0.1202926,1.700874
200,0.29274680000000003,17.60792
300,0.5153142,63.850300000000004
400,0.4720368,145.2972
500,0.43996899999999994,288.0682
600,0.5035136,517.9078
700,0.5539468000000001,771.8094
800,0.60047,1232.018
900,0.6633598,1834.086
1000,0.8240674,2215.168
